Loss,Acc,VLoss,Vacc,ETime,GTime
5.277,0.021,5.231,0.068,95.544,88.364
5.197,0.080,5.121,0.133,94.875,88.163
5.045,0.159,4.902,0.226,94.984,88.209
4.727,0.268,4.423,0.326,95.010,88.264
4.183,0.366,3.765,0.402,94.926,88.263
3.504,0.443,3.006,0.480,95.079,88.265
2.834,0.518,2.378,0.569,94.987,88.247
2.280,0.602,1.900,0.640,95.064,88.244
1.881,0.661,1.596,0.691,94.948,88.248
1.586,0.703,1.383,0.719,95.156,88.279
1.381,0.734,1.197,0.739,95.155,88.267
1.198,0.759,1.070,0.759,94.903,88.254
1.065,0.789,1.000,0.764,94.912,88.240
0.965,0.805,0.929,0.787,95.006,88.260
0.872,0.822,0.870,0.780,94.877,88.260
0.805,0.835,0.826,0.804,95.342,88.294
0.739,0.847,0.785,0.809,95.031,88.184
0.688,0.860,0.756,0.811,94.995,88.249
0.643,0.875,0.736,0.809,94.979,88.268
0.613,0.880,0.702,0.812,94.879,88.257
