Loss,Acc,VLoss,Vacc,ETime,GTime
5.028,0.110,4.103,0.303,94.892,87.657
2.688,0.434,1.389,0.639,94.438,87.822
1.072,0.722,0.872,0.752,94.471,87.843
0.563,0.849,0.731,0.791,94.379,87.841
0.342,0.915,0.646,0.824,94.447,87.844
0.230,0.949,0.646,0.813,94.588,87.882
0.157,0.965,0.638,0.825,94.415,87.828
0.114,0.978,0.649,0.834,94.528,87.867
0.083,0.987,0.634,0.833,94.435,87.827
0.062,0.991,0.646,0.830,94.403,87.856
0.051,0.992,0.644,0.841,94.784,87.885
0.039,0.996,0.638,0.838,94.635,87.897
0.035,0.996,0.667,0.835,94.353,87.851
0.031,0.998,0.655,0.836,94.489,87.853
0.026,0.998,0.653,0.842,94.368,87.871
0.026,0.998,0.657,0.843,94.555,87.856
0.023,0.998,0.671,0.842,94.401,87.842
0.023,0.998,0.659,0.840,94.491,87.873
0.020,0.998,0.660,0.839,94.550,87.888
0.017,0.999,0.662,0.843,94.470,87.892
