Loss,Acc,VLoss,Vacc,ETime,GTime
4.581,0.124,2.726,0.336,35.515,26.281
2.035,0.489,1.409,0.613,34.124,25.579
1.077,0.710,1.076,0.687,34.189,25.669
0.667,0.819,0.909,0.719,34.433,25.754
0.431,0.889,0.792,0.764,34.163,25.721
0.298,0.924,0.800,0.764,34.371,25.704
0.224,0.951,0.793,0.770,33.343,25.731
0.180,0.961,0.794,0.768,33.406,25.706
0.123,0.977,0.760,0.776,33.604,25.717
0.093,0.984,0.769,0.793,33.453,25.709
0.076,0.987,0.753,0.786,34.071,25.711
0.063,0.991,0.766,0.789,33.463,25.729
0.050,0.994,0.764,0.777,33.540,25.721
0.044,0.994,0.746,0.793,33.531,25.708
0.045,0.994,0.750,0.798,33.347,25.706
0.042,0.993,0.766,0.802,34.098,25.730
0.034,0.997,0.752,0.794,33.510,25.719
0.031,0.997,0.757,0.800,33.378,25.705
0.029,0.996,0.769,0.794,33.361,25.697
0.028,0.996,0.750,0.793,33.642,25.713
