Loss,Acc,VLoss,Vacc,ETime,GTime
5.004,0.102,3.963,0.338,97.513,88.017
2.700,0.414,1.444,0.616,97.038,88.339
1.152,0.702,0.926,0.744,95.961,88.274
0.602,0.842,0.765,0.781,95.834,88.217
0.354,0.909,0.700,0.807,95.958,88.316
0.233,0.948,0.691,0.805,96.185,88.251
0.164,0.966,0.659,0.817,95.900,88.245
0.117,0.978,0.676,0.822,95.991,88.292
0.085,0.986,0.665,0.821,95.910,88.223
0.065,0.991,0.675,0.831,96.043,88.264
0.051,0.993,0.650,0.833,96.186,88.382
0.043,0.997,0.695,0.827,95.959,88.338
0.035,0.997,0.668,0.830,95.904,88.242
0.034,0.997,0.676,0.825,96.012,88.319
0.029,0.998,0.677,0.828,95.966,88.268
0.026,0.997,0.695,0.824,96.131,88.312
0.024,0.997,0.684,0.822,96.014,88.319
0.024,0.997,0.688,0.825,95.921,88.272
0.020,0.998,0.697,0.824,95.849,88.206
0.019,0.999,0.683,0.833,95.946,88.311
