Loss,Acc,VLoss,Vacc,ETime,GTime
4.246,0.163,2.147,0.417,47.649,38.417
1.638,0.560,1.201,0.662,46.543,37.979
0.852,0.763,1.012,0.693,46.865,38.298
0.535,0.848,0.886,0.748,46.960,38.393
0.311,0.917,0.804,0.782,46.653,38.406
0.197,0.948,0.867,0.773,46.413,38.370
0.140,0.968,0.846,0.773,45.961,38.385
0.104,0.976,0.816,0.782,45.954,38.365
0.084,0.985,0.809,0.798,45.983,38.396
0.058,0.989,0.791,0.798,46.048,38.356
0.052,0.991,0.825,0.793,46.396,38.414
0.049,0.991,0.848,0.794,46.050,38.372
0.035,0.994,0.804,0.789,45.996,38.378
0.030,0.996,0.821,0.797,45.991,38.381
0.024,0.997,0.853,0.793,46.203,38.405
0.022,0.997,0.845,0.793,46.567,38.396
0.019,0.998,0.823,0.794,45.960,38.384
0.020,0.997,0.841,0.798,45.988,38.385
0.017,0.998,0.848,0.800,46.022,38.385
0.016,0.999,0.835,0.803,46.012,38.383
