Loss,Acc,VLoss,Vacc,ETime,GTime
4.311,0.162,2.137,0.500,44.688,36.444
1.514,0.614,0.999,0.727,43.270,36.025
0.707,0.812,0.757,0.790,42.867,36.221
0.419,0.891,0.655,0.814,42.712,36.066
0.238,0.947,0.637,0.823,42.785,36.175
0.161,0.964,0.638,0.820,43.063,36.115
0.121,0.977,0.620,0.828,42.781,36.149
0.084,0.987,0.626,0.821,42.812,36.141
0.065,0.991,0.616,0.832,42.718,36.123
0.052,0.994,0.600,0.836,42.779,36.157
0.041,0.996,0.603,0.835,43.286,36.139
0.038,0.996,0.604,0.838,42.821,36.137
0.031,0.997,0.616,0.841,42.778,36.119
0.028,0.998,0.612,0.834,42.785,36.136
0.022,0.999,0.608,0.840,42.721,36.116
0.026,0.997,0.614,0.837,43.367,36.144
0.022,0.998,0.612,0.843,42.813,36.133
0.020,0.998,0.625,0.833,42.722,36.110
0.020,0.998,0.626,0.837,42.697,36.109
0.017,0.999,0.627,0.840,42.784,36.146
