Loss,Acc,VLoss,Vacc,ETime,GTime
5.288,0.006,5.241,0.016,18.755,10.164
4.986,0.017,4.349,0.051,17.460,9.785
4.030,0.074,3.075,0.169,17.480,9.818
3.156,0.186,2.293,0.353,17.463,9.841
2.548,0.280,1.991,0.412,17.562,9.843
2.184,0.366,1.726,0.486,18.437,9.882
1.862,0.439,1.541,0.530,17.495,9.908
1.626,0.503,1.354,0.574,18.317,9.913
1.370,0.577,1.355,0.614,17.462,9.915
1.223,0.611,1.265,0.623,17.442,9.907
1.105,0.645,1.172,0.639,18.513,9.897
0.989,0.681,1.277,0.638,18.075,9.908
0.857,0.724,1.155,0.656,17.565,9.921
0.751,0.760,1.198,0.668,17.581,9.900
0.673,0.784,1.249,0.673,17.480,9.904
0.633,0.798,1.196,0.674,18.704,9.915
0.533,0.830,1.139,0.696,18.008,9.915
0.504,0.836,1.177,0.702,17.663,9.912
0.448,0.855,1.279,0.687,17.516,9.909
0.427,0.859,1.126,0.724,17.491,9.894
0.390,0.878,1.208,0.713,18.639,9.912
0.333,0.896,1.250,0.720,18.034,9.913
0.318,0.903,1.292,0.713,17.511,9.912
0.306,0.909,1.329,0.697,17.477,9.903
0.261,0.920,1.233,0.730,17.464,9.896
0.250,0.924,1.225,0.727,18.454,9.921
0.230,0.930,1.296,0.714,18.179,9.920
0.214,0.936,1.292,0.728,17.695,9.909
0.181,0.946,1.318,0.734,17.491,9.909
0.170,0.949,1.361,0.721,17.529,9.908
0.177,0.943,1.330,0.719,18.698,9.913
0.153,0.953,1.359,0.723,17.956,9.910
0.141,0.957,1.335,0.731,17.559,9.910
0.136,0.959,1.344,0.734,17.398,9.907
0.118,0.963,1.383,0.735,17.415,9.914
0.112,0.967,1.372,0.735,18.596,9.923
0.112,0.968,1.310,0.739,18.002,9.902
0.101,0.972,1.380,0.735,17.539,9.902
0.089,0.973,1.323,0.746,17.510,9.897
0.088,0.975,1.308,0.752,17.496,9.907
