Loss,Acc,VLoss,Vacc,ETime,GTime
5.302,0.006,5.290,0.011,14.640,10.143
5.292,0.007,5.263,0.020,13.988,9.814
5.205,0.011,4.893,0.016,13.987,9.840
4.977,0.015,4.611,0.031,14.023,9.851
4.730,0.026,4.098,0.068,14.079,9.867
4.437,0.044,3.645,0.120,14.030,9.880
4.183,0.065,3.393,0.154,14.085,9.887
3.969,0.087,3.076,0.186,14.076,9.910
3.784,0.113,2.916,0.232,14.594,9.921
3.626,0.129,2.628,0.283,14.099,9.942
3.481,0.144,2.509,0.308,14.125,9.938
3.358,0.170,2.430,0.330,14.102,9.932
3.149,0.196,2.300,0.355,14.062,9.924
3.109,0.212,2.177,0.363,14.107,9.923
2.971,0.230,2.045,0.393,14.088,9.922
2.887,0.251,2.054,0.387,14.136,9.932
2.780,0.269,2.030,0.410,14.068,9.935
2.645,0.298,2.007,0.418,14.040,9.926
2.625,0.295,1.975,0.425,14.054,9.933
2.508,0.321,1.886,0.437,14.050,9.919
2.454,0.337,1.839,0.460,14.084,9.928
2.376,0.352,1.902,0.449,14.153,9.930
2.300,0.373,1.744,0.483,14.145,9.930
2.240,0.389,1.737,0.480,14.132,9.924
2.190,0.400,1.692,0.499,14.115,9.925
2.097,0.418,1.657,0.515,14.129,9.922
2.076,0.428,1.711,0.492,14.088,9.914
2.001,0.440,1.769,0.481,14.016,9.933
1.897,0.466,1.649,0.522,14.068,9.924
1.779,0.497,1.668,0.522,14.032,9.922
1.789,0.490,1.756,0.517,14.027,9.921
1.779,0.495,1.684,0.542,14.096,9.930
1.677,0.523,1.583,0.536,14.087,9.931
1.639,0.532,1.694,0.540,14.101,9.924
1.599,0.546,1.699,0.528,14.063,9.937
1.565,0.559,1.649,0.563,14.094,9.928
1.526,0.572,1.649,0.557,14.117,9.924
1.449,0.575,1.707,0.539,14.123,9.925
1.400,0.598,1.681,0.547,14.023,9.924
1.406,0.596,1.628,0.575,14.087,9.918
1.344,0.606,1.666,0.565,14.079,9.926
1.326,0.620,1.690,0.563,14.068,9.925
1.268,0.637,1.801,0.533,14.068,9.925
1.251,0.647,1.738,0.553,14.097,9.923
1.210,0.655,1.673,0.566,14.086,9.926
1.176,0.671,1.709,0.561,14.067,9.919
1.138,0.675,1.685,0.576,14.076,9.936
1.138,0.679,1.672,0.585,14.024,9.923
1.056,0.700,1.767,0.570,14.055,9.927
1.066,0.696,1.670,0.582,14.061,9.923
1.041,0.699,1.672,0.593,14.109,9.928
1.012,0.715,1.710,0.590,14.046,9.938
0.979,0.720,1.679,0.605,14.012,9.927
0.966,0.717,1.691,0.580,14.058,9.921
0.948,0.729,1.712,0.611,14.058,9.924
0.899,0.744,1.767,0.587,14.042,9.923
0.914,0.747,1.668,0.612,14.085,9.932
0.861,0.758,1.827,0.589,14.051,9.926
0.857,0.759,1.788,0.581,14.051,9.926
0.885,0.760,1.766,0.596,14.108,9.924
