Loss,Acc,VLoss,Vacc,ETime,GTime
5.250,0.026,5.068,0.149,35.098,26.086
4.337,0.111,2.916,0.316,34.236,25.688
2.708,0.302,1.944,0.497,33.155,25.812
1.823,0.477,1.385,0.605,33.244,25.838
1.238,0.630,1.126,0.663,33.138,25.787
0.949,0.715,1.003,0.716,33.915,25.817
0.762,0.766,0.947,0.727,33.150,25.808
0.617,0.814,0.945,0.740,33.064,25.788
0.468,0.860,0.886,0.760,33.101,25.805
0.388,0.886,0.953,0.739,33.174,25.811
0.332,0.902,0.839,0.755,33.850,25.810
0.278,0.920,0.905,0.767,33.352,25.828
0.217,0.940,0.858,0.768,33.362,25.812
0.180,0.948,0.865,0.768,33.273,25.806
0.150,0.959,0.889,0.759,33.296,25.802
0.138,0.963,0.877,0.777,34.335,25.816
0.106,0.972,0.846,0.779,33.491,25.825
0.105,0.972,0.878,0.771,33.267,25.814
0.103,0.974,0.875,0.779,33.231,25.796
0.080,0.979,0.862,0.779,33.161,25.803
