Loss,Acc,VLoss,Vacc,ETime,GTime
5.297,0.008,5.276,0.027,17.048,10.511
5.193,0.012,4.823,0.034,15.892,9.846
4.570,0.042,3.607,0.136,15.966,9.876
3.766,0.099,2.899,0.229,15.809,9.863
3.165,0.179,2.335,0.316,15.693,9.839
2.772,0.245,2.106,0.372,15.936,9.844
2.445,0.317,1.837,0.437,15.887,9.846
2.159,0.374,1.909,0.438,15.839,9.864
1.911,0.443,1.509,0.527,15.804,9.860
1.779,0.477,1.537,0.533,15.927,9.866
1.617,0.510,1.372,0.592,16.496,9.850
1.461,0.551,1.445,0.567,15.715,9.861
1.375,0.589,1.357,0.609,15.197,9.847
1.243,0.623,1.355,0.620,15.187,9.851
1.139,0.651,1.311,0.645,15.174,9.844
1.053,0.673,1.227,0.653,15.916,9.847
0.943,0.712,1.278,0.658,15.549,9.849
0.901,0.725,1.321,0.646,15.138,9.828
0.856,0.737,1.269,0.676,15.232,9.829
0.776,0.767,1.300,0.662,15.227,9.833
0.706,0.789,1.353,0.660,15.907,9.844
0.656,0.799,1.343,0.681,15.520,9.825
0.607,0.819,1.266,0.681,15.133,9.815
0.573,0.825,1.358,0.673,15.209,9.833
0.551,0.837,1.277,0.686,15.198,9.822
0.505,0.852,1.336,0.690,15.963,9.824
0.496,0.861,1.322,0.692,15.710,9.834
0.457,0.866,1.323,0.702,15.209,9.823
0.398,0.879,1.329,0.697,15.246,9.823
0.397,0.880,1.323,0.702,15.212,9.819
0.386,0.886,1.295,0.712,15.905,9.830
0.375,0.893,1.404,0.697,15.616,9.827
0.314,0.909,1.378,0.715,15.205,9.822
0.314,0.907,1.394,0.699,15.242,9.836
0.287,0.923,1.455,0.696,15.244,9.833
0.281,0.918,1.387,0.706,15.951,9.840
0.246,0.931,1.408,0.703,15.972,9.844
0.241,0.931,1.465,0.709,15.901,9.839
0.251,0.925,1.368,0.715,16.045,9.838
0.228,0.936,1.470,0.709,15.842,9.828
0.226,0.935,1.440,0.725,16.747,9.835
0.213,0.939,1.455,0.729,16.306,9.826
0.196,0.942,1.429,0.726,16.554,9.853
0.199,0.941,1.435,0.729,15.835,9.828
0.192,0.947,1.439,0.723,15.849,9.829
0.182,0.947,1.457,0.728,16.941,9.826
0.187,0.949,1.491,0.722,16.233,9.822
0.164,0.952,1.516,0.708,15.829,9.830
0.168,0.953,1.467,0.709,15.778,9.823
0.150,0.958,1.488,0.717,15.811,9.831
0.159,0.956,1.457,0.728,16.805,9.829
0.153,0.959,1.521,0.709,16.331,9.833
0.152,0.960,1.468,0.730,15.789,9.825
0.134,0.960,1.464,0.725,15.914,9.835
0.142,0.964,1.478,0.725,15.821,9.830
0.133,0.964,1.463,0.721,16.769,9.841
0.133,0.962,1.474,0.735,16.398,9.825
0.119,0.966,1.457,0.731,15.919,9.831
0.113,0.966,1.549,0.727,15.881,9.834
0.099,0.971,1.557,0.717,15.456,9.828
