Loss,Acc,VLoss,Vacc,ETime,GTime
5.295,0.005,5.272,0.033,26.706,10.103
5.123,0.020,4.526,0.059,25.270,9.740
4.229,0.065,3.295,0.160,25.242,9.755
3.406,0.146,2.487,0.322,25.359,9.769
2.771,0.244,2.196,0.342,25.250,9.768
2.434,0.305,1.890,0.410,25.452,9.785
2.157,0.366,1.777,0.446,25.408,9.797
1.870,0.433,1.549,0.510,25.403,9.801
1.649,0.495,1.441,0.551,25.435,9.806
1.507,0.531,1.406,0.570,25.363,9.808
1.391,0.562,1.352,0.574,25.431,9.815
1.224,0.611,1.297,0.599,26.178,9.830
1.122,0.649,1.214,0.622,25.448,9.837
0.989,0.682,1.197,0.646,25.544,9.835
0.920,0.704,1.236,0.658,25.478,9.836
0.864,0.719,1.211,0.646,25.406,9.835
0.758,0.749,1.212,0.651,25.461,9.837
0.720,0.766,1.222,0.674,25.449,9.839
0.650,0.788,1.176,0.672,25.437,9.841
0.608,0.805,1.164,0.687,25.430,9.840
0.563,0.821,1.148,0.712,25.568,9.845
0.492,0.841,1.214,0.697,25.500,9.845
0.457,0.851,1.176,0.706,25.576,9.846
0.429,0.859,1.227,0.700,25.522,9.846
0.403,0.871,1.218,0.710,25.513,9.836
0.389,0.881,1.263,0.692,25.468,9.846
0.350,0.889,1.267,0.709,25.482,9.851
0.333,0.892,1.331,0.701,25.477,9.844
0.313,0.900,1.268,0.699,25.439,9.843
0.275,0.911,1.238,0.707,25.408,9.845
0.267,0.917,1.318,0.698,25.427,9.847
0.233,0.924,1.308,0.707,25.407,9.842
0.225,0.927,1.344,0.717,25.417,9.838
0.230,0.926,1.286,0.708,25.481,9.845
0.213,0.930,1.296,0.717,25.507,9.843
0.199,0.938,1.323,0.723,25.442,9.843
0.165,0.947,1.365,0.724,25.406,9.849
0.158,0.950,1.403,0.726,25.392,9.844
0.132,0.957,1.433,0.729,25.532,9.842
0.140,0.959,1.411,0.724,25.490,9.846
0.129,0.960,1.376,0.727,25.494,9.846
0.130,0.959,1.423,0.725,25.392,9.844
0.114,0.966,1.471,0.729,25.515,9.847
0.129,0.960,1.423,0.710,25.458,9.848
0.115,0.965,1.432,0.731,26.390,9.851
0.105,0.967,1.431,0.729,25.459,9.842
0.112,0.968,1.437,0.729,25.530,9.844
0.102,0.968,1.547,0.720,25.345,9.840
0.094,0.971,1.428,0.739,25.347,9.845
0.083,0.975,1.469,0.736,25.494,9.845
0.077,0.977,1.455,0.730,25.415,9.845
0.075,0.979,1.504,0.733,25.463,9.847
0.069,0.980,1.458,0.735,25.417,9.849
0.070,0.978,1.450,0.741,25.537,9.841
0.070,0.980,1.472,0.736,25.503,9.845
0.065,0.981,1.507,0.729,25.555,9.846
0.063,0.981,1.453,0.736,25.418,9.846
0.063,0.980,1.430,0.737,25.431,9.846
0.053,0.984,1.484,0.738,25.434,9.842
0.052,0.983,1.533,0.740,25.486,9.844
