Loss,Acc,VLoss,Vacc,ETime,GTime
5.294,0.007,5.263,0.032,18.151,10.140
5.096,0.018,4.575,0.057,17.448,9.842
4.223,0.072,3.276,0.179,17.363,9.877
3.267,0.167,2.346,0.319,17.448,9.896
2.664,0.261,2.061,0.390,17.426,9.917
2.225,0.359,1.777,0.462,18.379,9.912
1.907,0.428,1.561,0.508,17.447,9.894
1.669,0.489,1.449,0.530,17.346,9.886
1.385,0.571,1.285,0.604,17.398,9.900
1.227,0.608,1.245,0.627,17.435,9.914
1.089,0.652,1.295,0.618,18.588,9.918
0.968,0.691,1.226,0.633,18.001,9.908
0.857,0.721,1.158,0.656,17.526,9.915
0.749,0.759,1.196,0.665,17.393,9.904
0.691,0.781,1.191,0.670,17.425,9.901
0.619,0.802,1.223,0.672,18.656,9.900
0.575,0.814,1.137,0.707,18.119,9.904
0.531,0.830,1.170,0.674,17.364,9.914
0.472,0.852,1.169,0.699,17.423,9.909
0.414,0.867,1.250,0.693,17.451,9.899
0.350,0.892,1.161,0.714,18.734,9.909
0.306,0.902,1.215,0.717,17.891,9.905
0.336,0.896,1.236,0.712,17.465,9.914
0.290,0.913,1.238,0.728,17.467,9.907
0.258,0.919,1.302,0.724,17.422,9.899
0.248,0.924,1.260,0.715,18.660,9.905
0.229,0.930,1.256,0.718,17.831,9.904
0.207,0.936,1.290,0.710,18.474,9.904
0.168,0.953,1.299,0.736,17.453,9.909
0.161,0.951,1.251,0.735,17.456,9.913
0.156,0.958,1.325,0.737,18.551,9.905
0.149,0.958,1.389,0.730,18.162,9.923
0.136,0.957,1.358,0.729,17.543,9.927
0.151,0.956,1.332,0.742,17.627,9.919
0.136,0.961,1.343,0.717,17.635,9.909
0.146,0.959,1.285,0.744,18.752,9.926
0.111,0.967,1.286,0.743,17.928,9.913
0.092,0.973,1.347,0.742,17.473,9.913
0.108,0.969,1.301,0.751,17.465,9.909
0.103,0.971,1.374,0.728,17.442,9.911
0.080,0.975,1.370,0.744,18.635,9.919
0.085,0.976,1.370,0.743,17.995,9.904
0.078,0.975,1.294,0.748,17.457,9.908
0.064,0.981,1.385,0.755,17.514,9.905
0.072,0.979,1.336,0.754,17.497,9.903
0.069,0.980,1.393,0.758,18.588,9.901
0.056,0.984,1.334,0.757,18.002,9.900
0.058,0.982,1.344,0.758,17.501,9.908
0.062,0.980,1.286,0.762,17.291,9.906
0.055,0.985,1.307,0.758,17.393,9.902
0.059,0.983,1.336,0.755,18.631,9.908
0.065,0.983,1.299,0.750,17.746,9.911
0.047,0.986,1.334,0.746,17.343,9.912
0.048,0.987,1.308,0.754,17.341,9.904
0.047,0.987,1.308,0.756,17.370,9.898
0.058,0.982,1.362,0.750,18.547,9.909
0.047,0.986,1.315,0.763,17.964,9.909
0.048,0.987,1.327,0.761,17.453,9.903
0.043,0.988,1.396,0.757,17.390,9.902
0.040,0.988,1.400,0.758,17.471,9.900
