Loss,Acc,VLoss,Vacc,ETime,GTime
5.061,0.075,4.406,0.228,46.629,38.651
3.390,0.324,2.208,0.493,45.869,38.205
1.852,0.556,1.390,0.641,45.831,38.260
1.168,0.706,1.099,0.711,45.785,38.240
0.814,0.797,0.930,0.752,45.855,38.249
0.619,0.847,0.876,0.759,46.062,38.245
0.481,0.886,0.820,0.776,46.932,38.267
0.389,0.908,0.796,0.789,46.131,38.251
0.309,0.928,0.794,0.788,45.774,38.234
0.250,0.948,0.777,0.788,45.884,38.239
0.217,0.957,0.782,0.787,46.167,38.261
0.177,0.966,0.782,0.798,45.897,38.236
0.151,0.973,0.770,0.801,45.847,38.243
0.134,0.978,0.768,0.794,45.927,38.246
0.118,0.983,0.767,0.794,45.899,38.250
0.107,0.984,0.779,0.788,46.304,38.281
0.092,0.989,0.769,0.800,45.888,38.241
0.090,0.985,0.794,0.793,45.822,38.246
0.080,0.990,0.776,0.801,45.995,38.248
0.077,0.989,0.781,0.794,45.883,38.236
0.067,0.992,0.770,0.807,46.379,38.266
0.067,0.992,0.786,0.799,45.908,38.243
0.064,0.993,0.778,0.798,45.975,38.256
0.060,0.994,0.780,0.802,45.878,38.248
0.054,0.993,0.782,0.800,45.854,38.243
0.054,0.995,0.783,0.809,46.541,38.266
0.054,0.993,0.785,0.813,45.862,38.245
0.053,0.993,0.785,0.801,45.869,38.251
0.047,0.996,0.782,0.801,45.894,38.252
0.044,0.996,0.786,0.804,45.808,38.240
