Loss,Acc,VLoss,Vacc,ETime,GTime
5.232,0.023,5.087,0.071,44.391,36.154
4.873,0.146,4.542,0.281,43.762,36.099
4.054,0.314,3.383,0.428,44.075,36.336
2.943,0.461,2.371,0.543,43.967,36.207
2.162,0.584,1.811,0.609,43.945,36.252
1.666,0.665,1.473,0.666,44.255,36.269
1.336,0.721,1.293,0.690,43.844,36.232
1.087,0.773,1.135,0.714,44.179,36.267
0.923,0.801,1.033,0.736,43.874,36.236
0.793,0.836,0.970,0.748,43.926,36.250
0.699,0.846,0.920,0.752,44.362,36.250
0.615,0.869,0.891,0.761,43.950,36.248
0.532,0.892,0.864,0.771,43.941,36.243
0.470,0.901,0.842,0.778,43.970,36.243
0.435,0.912,0.825,0.776,43.990,36.245
0.386,0.925,0.820,0.770,44.376,36.256
0.352,0.934,0.803,0.774,44.142,36.236
0.323,0.943,0.786,0.787,43.961,36.232
0.301,0.940,0.794,0.779,43.970,36.237
0.269,0.952,0.785,0.786,43.961,36.244
