Loss,Acc,VLoss,Vacc,ETime,GTime
5.177,0.045,4.851,0.179,34.318,26.054
4.132,0.257,2.940,0.373,33.411,25.814
2.504,0.468,1.831,0.565,33.309,25.729
1.633,0.616,1.362,0.643,33.265,25.732
1.152,0.732,1.105,0.715,33.355,25.750
0.892,0.788,0.992,0.731,34.060,25.746
0.716,0.832,0.923,0.726,33.266,25.743
0.578,0.870,0.858,0.751,33.258,25.737
0.469,0.900,0.832,0.757,33.383,25.730
0.401,0.913,0.786,0.772,33.312,25.734
0.337,0.931,0.776,0.776,33.296,25.738
0.292,0.941,0.784,0.761,33.251,25.734
0.249,0.958,0.775,0.775,33.308,25.727
0.223,0.960,0.768,0.775,33.354,25.735
0.203,0.968,0.768,0.784,33.376,25.731
0.184,0.969,0.769,0.782,33.393,25.753
0.154,0.978,0.758,0.781,33.808,25.762
0.142,0.983,0.748,0.782,33.621,25.758
0.141,0.980,0.761,0.783,33.403,25.755
0.125,0.984,0.756,0.780,33.449,25.755
0.118,0.985,0.753,0.788,33.441,25.759
0.111,0.987,0.753,0.796,33.406,25.748
0.109,0.985,0.749,0.782,33.431,25.754
0.102,0.987,0.758,0.779,33.420,25.759
0.093,0.989,0.750,0.785,33.370,25.754
0.091,0.991,0.762,0.785,33.512,25.756
0.089,0.988,0.748,0.792,33.396,25.749
0.081,0.991,0.765,0.787,33.314,25.746
0.076,0.994,0.757,0.788,33.396,25.744
0.076,0.990,0.751,0.787,33.380,25.744
