Loss,Acc,VLoss,Vacc,ETime,GTime
5.113,0.060,4.623,0.250,44.369,36.319
3.761,0.310,2.565,0.471,43.749,36.043
2.120,0.539,1.488,0.651,43.622,35.962
1.307,0.702,1.125,0.706,43.555,36.008
0.907,0.794,0.938,0.750,43.657,35.997
0.693,0.842,0.835,0.768,43.952,36.027
0.556,0.872,0.797,0.780,43.772,36.014
0.433,0.901,0.763,0.793,43.728,36.008
0.351,0.926,0.735,0.788,43.772,36.013
0.301,0.940,0.735,0.788,43.682,36.005
0.267,0.949,0.723,0.795,44.433,36.029
0.218,0.964,0.713,0.794,43.788,36.015
0.181,0.973,0.712,0.802,43.704,36.008
0.170,0.975,0.711,0.791,43.694,35.998
0.150,0.979,0.699,0.804,43.721,36.017
0.135,0.981,0.705,0.800,44.163,36.008
0.123,0.984,0.701,0.805,43.808,36.016
0.114,0.986,0.698,0.809,43.599,36.007
0.109,0.986,0.695,0.801,43.659,36.002
0.096,0.991,0.713,0.798,43.622,36.006
0.090,0.990,0.701,0.796,43.987,36.000
0.087,0.991,0.693,0.805,43.574,35.999
0.079,0.993,0.695,0.801,43.586,35.993
0.076,0.993,0.719,0.801,43.559,36.004
0.072,0.993,0.700,0.802,43.626,36.000
0.066,0.994,0.707,0.802,44.095,36.024
0.067,0.995,0.707,0.802,43.592,35.996
0.063,0.995,0.706,0.799,43.628,36.013
0.060,0.994,0.703,0.806,43.611,36.006
0.058,0.995,0.710,0.800,43.695,35.999
