Loss,Acc,VLoss,Vacc,ETime,GTime
5.301,0.004,5.287,0.014,14.714,10.172
5.291,0.006,5.250,0.009,14.014,9.845
5.176,0.010,4.858,0.011,14.003,9.880
4.956,0.015,4.601,0.031,14.077,9.890
4.750,0.024,4.179,0.050,14.074,9.890
4.481,0.042,3.698,0.101,14.077,9.904
4.241,0.057,3.346,0.125,14.099,9.929
4.035,0.078,3.069,0.191,14.107,9.940
3.830,0.094,2.756,0.214,14.049,9.939
3.656,0.126,2.656,0.239,14.054,9.926
3.514,0.142,2.490,0.286,14.023,9.919
3.381,0.163,2.272,0.319,14.033,9.921
3.221,0.189,2.409,0.340,14.051,9.925
3.120,0.203,2.224,0.365,14.095,9.924
3.006,0.233,2.112,0.368,14.099,9.926
2.923,0.237,1.962,0.399,14.069,9.934
2.826,0.272,1.908,0.425,14.091,9.933
2.707,0.285,1.821,0.434,14.068,9.923
2.649,0.295,1.772,0.466,14.033,9.924
2.589,0.304,1.723,0.485,14.028,9.932
2.464,0.342,1.663,0.480,14.037,9.921
2.414,0.338,1.680,0.485,14.030,9.923
2.319,0.369,1.770,0.482,14.122,9.925
2.248,0.380,1.696,0.483,14.012,9.924
2.164,0.398,1.560,0.531,14.082,9.928
2.093,0.424,1.577,0.505,14.007,9.932
2.079,0.423,1.571,0.532,14.064,9.922
2.016,0.440,1.551,0.533,14.070,9.936
1.918,0.454,1.595,0.556,14.103,9.932
1.841,0.485,1.532,0.537,14.082,9.926
1.825,0.488,1.603,0.526,14.102,9.930
1.753,0.496,1.591,0.537,14.084,9.925
1.716,0.511,1.527,0.555,14.021,9.923
1.678,0.530,1.553,0.563,14.085,9.922
1.592,0.542,1.520,0.539,14.093,9.931
1.600,0.546,1.490,0.561,14.618,9.922
1.587,0.555,1.528,0.563,14.716,9.934
1.483,0.581,1.509,0.573,14.596,9.925
1.434,0.592,1.527,0.565,14.028,9.937
1.397,0.602,1.605,0.559,14.172,9.924
1.357,0.618,1.528,0.594,14.042,9.921
1.320,0.622,1.471,0.605,14.104,9.935
1.347,0.620,1.499,0.596,14.061,9.926
1.257,0.642,1.471,0.614,14.044,9.931
1.154,0.667,1.562,0.578,14.028,9.932
1.188,0.662,1.541,0.601,14.061,9.922
1.138,0.669,1.480,0.604,14.052,9.934
1.160,0.670,1.509,0.607,14.092,9.930
1.097,0.690,1.484,0.617,14.026,9.924
1.079,0.695,1.522,0.608,14.082,9.929
1.045,0.702,1.485,0.631,14.049,9.916
1.028,0.706,1.840,0.592,14.366,9.926
0.975,0.720,1.636,0.606,14.116,9.922
0.954,0.729,1.623,0.608,14.090,9.932
0.952,0.731,1.529,0.619,14.076,9.933
0.953,0.732,1.633,0.603,14.088,9.923
0.906,0.739,1.632,0.609,14.085,9.937
0.902,0.744,1.619,0.601,14.108,9.922
0.878,0.760,1.616,0.614,14.012,9.920
0.906,0.749,1.622,0.622,14.092,9.917
