Loss,Acc,VLoss,Vacc,ETime,GTime
6.148,0.005,5.345,0.028,61.812,39.801
4.825,0.051,3.670,0.133,61.161,39.479
3.972,0.114,3.003,0.221,61.031,39.530
3.441,0.180,2.526,0.331,61.658,39.522
3.039,0.242,2.303,0.365,61.208,39.500
2.767,0.294,2.071,0.416,61.567,39.540
2.551,0.335,1.949,0.452,60.958,39.514
2.353,0.377,1.829,0.488,61.058,39.515
2.138,0.417,1.761,0.501,60.957,39.512
2.001,0.457,1.721,0.520,61.153,39.523
1.897,0.483,1.663,0.530,62.067,39.523
1.783,0.504,1.628,0.541,61.484,39.564
1.636,0.538,1.594,0.541,61.017,39.512
1.552,0.564,1.594,0.563,61.179,39.529
1.475,0.586,1.555,0.575,61.191,39.526
1.400,0.601,1.614,0.562,62.029,39.521
1.316,0.620,1.575,0.582,61.598,39.511
1.244,0.640,1.568,0.583,61.107,39.530
1.174,0.663,1.627,0.583,61.142,39.520
1.134,0.676,1.596,0.583,61.181,39.536
1.060,0.693,1.606,0.594,61.880,39.493
1.006,0.709,1.604,0.594,61.067,39.487
0.971,0.719,1.623,0.605,60.590,39.461
0.919,0.735,1.603,0.608,60.729,39.466
0.864,0.750,1.664,0.597,61.009,39.502
0.833,0.759,1.660,0.603,61.639,39.470
0.800,0.771,1.680,0.617,60.911,39.496
0.772,0.776,1.654,0.609,60.971,39.497
0.732,0.790,1.634,0.614,60.646,39.473
0.697,0.802,1.702,0.621,61.601,39.532
0.670,0.809,1.689,0.608,61.984,39.538
0.637,0.814,1.679,0.617,61.219,39.533
0.623,0.822,1.798,0.610,61.308,39.538
0.571,0.834,1.820,0.619,61.130,39.533
0.578,0.836,1.795,0.615,61.316,39.544
0.531,0.847,1.771,0.619,62.302,39.566
0.540,0.849,1.757,0.623,61.393,39.549
0.509,0.858,1.874,0.620,61.318,39.554
0.489,0.862,1.758,0.630,61.454,39.564
0.473,0.866,1.795,0.635,61.474,39.548
