Loss,Acc,VLoss,Vacc,ETime,GTime
5.294,0.007,5.267,0.025,25.679,10.171
5.104,0.014,4.645,0.041,24.447,9.791
4.352,0.051,3.417,0.150,24.506,9.803
3.545,0.122,2.662,0.285,24.307,9.812
2.948,0.206,2.277,0.334,24.443,9.815
2.572,0.268,1.958,0.426,24.400,9.818
2.252,0.345,1.743,0.469,24.437,9.834
2.014,0.411,1.691,0.501,24.423,9.838
1.766,0.464,1.375,0.598,24.522,9.835
1.593,0.511,1.328,0.599,24.391,9.834
1.470,0.545,1.291,0.621,24.384,9.843
1.333,0.585,1.331,0.609,24.396,9.842
1.192,0.625,1.228,0.620,24.397,9.837
1.088,0.653,1.168,0.652,24.465,9.840
1.015,0.675,1.209,0.667,24.462,9.840
0.952,0.688,1.139,0.666,24.409,9.835
0.843,0.726,1.170,0.688,24.462,9.844
0.785,0.747,1.089,0.695,24.472,9.836
0.751,0.760,1.181,0.664,24.447,9.836
0.688,0.773,1.177,0.683,24.469,9.842
0.635,0.802,1.144,0.688,24.540,9.839
0.567,0.816,1.152,0.700,24.406,9.839
0.553,0.819,1.106,0.709,24.457,9.837
0.500,0.838,1.210,0.712,24.531,9.839
0.460,0.847,1.126,0.709,25.362,9.848
0.451,0.855,1.192,0.713,24.543,9.842
0.399,0.871,1.210,0.710,24.424,9.840
0.375,0.880,1.198,0.724,24.571,9.838
0.344,0.888,1.296,0.710,24.557,9.838
0.311,0.904,1.273,0.704,24.537,9.837
0.308,0.900,1.143,0.733,24.508,9.836
0.279,0.913,1.221,0.725,24.470,9.839
0.245,0.925,1.154,0.735,24.907,9.849
0.240,0.925,1.313,0.721,26.410,9.862
0.245,0.921,1.188,0.733,26.445,9.854
0.204,0.936,1.212,0.736,25.985,9.856
0.207,0.935,1.160,0.742,24.602,9.837
0.201,0.937,1.268,0.727,24.606,9.836
0.190,0.941,1.237,0.723,24.472,9.840
0.195,0.941,1.293,0.727,25.473,9.851
0.156,0.952,1.284,0.727,24.484,9.839
0.153,0.954,1.301,0.737,24.446,9.839
0.147,0.954,1.289,0.738,24.546,9.838
0.131,0.961,1.340,0.729,24.479,9.840
0.143,0.955,1.250,0.739,24.477,9.840
0.116,0.966,1.299,0.727,24.380,9.838
0.123,0.965,1.296,0.732,24.528,9.840
0.120,0.963,1.340,0.736,24.519,9.843
0.099,0.971,1.302,0.733,24.506,9.842
0.080,0.976,1.327,0.748,24.529,9.841
0.093,0.971,1.371,0.736,24.394,9.836
0.089,0.973,1.369,0.732,24.442,9.836
0.082,0.974,1.402,0.739,24.388,9.840
0.079,0.977,1.373,0.734,24.394,9.836
0.074,0.976,1.335,0.748,24.650,9.844
0.085,0.972,1.344,0.744,24.724,9.840
0.084,0.973,1.353,0.741,24.572,9.836
0.076,0.978,1.379,0.745,24.709,9.839
0.063,0.982,1.382,0.741,25.412,9.849
0.073,0.978,1.405,0.740,24.548,9.838
