Loss,Acc,VLoss,Vacc,ETime,GTime
4.584,0.126,2.758,0.330,35.197,26.002
2.056,0.483,1.394,0.621,33.169,25.720
1.083,0.708,1.082,0.665,33.206,25.804
0.696,0.809,0.967,0.706,33.190,25.745
0.446,0.882,0.820,0.772,33.193,25.735
0.308,0.918,0.836,0.755,33.653,25.783
0.220,0.946,0.866,0.763,33.210,25.760
0.180,0.961,0.803,0.766,33.199,25.730
0.125,0.972,0.769,0.787,33.204,25.759
0.080,0.988,0.761,0.777,33.192,25.771
0.080,0.984,0.806,0.778,33.942,25.747
0.066,0.989,0.828,0.781,33.274,25.758
0.062,0.988,0.793,0.789,33.142,25.766
0.047,0.992,0.789,0.795,33.222,25.746
0.040,0.994,0.781,0.789,33.267,25.765
0.036,0.995,0.770,0.807,34.125,25.771
0.031,0.996,0.785,0.800,33.473,25.748
0.031,0.995,0.798,0.797,33.250,25.761
0.025,0.997,0.814,0.805,33.156,25.760
0.022,0.997,0.773,0.806,33.172,25.762
