Loss,Acc,VLoss,Vacc,ETime,GTime
4.236,0.157,2.148,0.440,46.645,38.545
1.629,0.565,1.190,0.656,46.077,38.460
0.858,0.755,1.023,0.698,45.915,38.293
0.517,0.856,0.910,0.737,46.093,38.371
0.310,0.920,0.772,0.765,46.014,38.343
0.189,0.952,0.764,0.778,46.327,38.389
0.136,0.969,0.742,0.787,46.100,38.348
0.110,0.977,0.775,0.781,46.265,38.372
0.079,0.984,0.751,0.795,46.499,38.377
0.060,0.988,0.775,0.787,46.573,38.371
0.046,0.993,0.721,0.800,46.890,38.369
0.040,0.995,0.722,0.801,46.270,38.356
0.033,0.995,0.732,0.794,46.327,38.362
0.028,0.995,0.733,0.796,46.472,38.371
0.026,0.996,0.728,0.810,46.633,38.370
0.026,0.996,0.730,0.804,46.956,38.381
0.019,0.998,0.714,0.807,46.364,38.368
0.020,0.998,0.728,0.804,46.284,38.361
0.019,0.998,0.730,0.798,46.389,38.358
0.015,0.998,0.715,0.805,46.362,38.357
