Loss,Acc,VLoss,Vacc,ETime,GTime
4.832,0.085,3.236,0.284,31.908,25.861
2.582,0.377,1.631,0.534,31.093,25.580
1.529,0.587,1.268,0.643,31.168,25.661
1.056,0.712,1.084,0.690,31.212,25.736
0.757,0.793,1.020,0.716,31.177,25.762
0.586,0.842,0.926,0.739,31.431,25.697
0.450,0.881,0.919,0.750,31.278,25.712
0.387,0.898,1.014,0.729,31.208,25.727
0.304,0.921,0.911,0.763,31.242,25.702
0.259,0.934,0.892,0.766,31.213,25.721
0.226,0.943,0.908,0.758,31.729,25.737
0.179,0.956,0.908,0.763,31.205,25.711
0.156,0.963,0.908,0.762,31.282,25.709
0.138,0.970,0.914,0.763,31.532,25.746
0.137,0.967,0.895,0.768,31.263,25.723
0.132,0.969,0.917,0.765,31.716,25.719
0.108,0.976,0.896,0.758,31.336,25.722
0.085,0.982,0.941,0.761,31.188,25.718
0.086,0.981,0.933,0.781,31.189,25.724
0.084,0.980,0.916,0.769,31.234,25.734
